1|20201212|Coca-cola|3.0|1
2|20201111|Pepsi|3.0|2
3|20200909|Staropramen|4.0|2
4|20201212|Argo|2.0|3
5|20201005|Coca-cola|3.0|2
6|20201006|Pepsi|3.0|1
7|20201120|Heineken|4.5|3
8|20201201|Sprite|2.5|4
9|20200915|Coca-cola|3.0|3
10|20201130|Fanta|280|2
11|20200610|Heineken|4.5|5
12|20200925|Corona|5.0|4
13|20201012|Argo|2.0|1
14|20200819|Sprite|2.5|3
15|20201222|Carlsberg|4.0|2
16|20200709|Budweiser|4.2|3
17|20201101|Pepsi|3.0|5
18|20200928|Fanta|2.8|1
19|20201018|Corona|5.0|3
20|20200823|Coca-cola|3.0|4
